"DATE","CATEGORY","PUZZLE","L1","L2","L3","L4","L5","WIN"
2009-09-23,"Thing","HAZY MORNING","B","M","P","I",NA,"No"
2009-09-24,"Thing","BRIEF PAUSE","C","D","H","O",NA,"Yes"
2009-09-25,"Things","KHAKI PANTS","P","C","D","A",NA,"No"
2009-09-28,"People","TASK FORCE","C","P","D","O",NA,"Yes"
2009-09-29,"Phrase","I HAD A HUNCH","C","D","H","I",NA,"Yes"
2009-09-30,"Thing","QUILTED HANDBAG","C","D","H","O",NA,"No"
2010-09-13,"Event","GIFT EXCHANGE","C","D","M","A",NA,"No"
2010-09-14,"Place","FRONT YARD","H","P","D","I",NA,"No"
2010-09-15,"Thing","POPULAR OPINION","C","D","M","O","P","Yes"
2010-09-16,"Food & Drink","WEDGE OF LIME","C","H","F","O",NA,"No"
2010-09-17,"Thing","BODY LANGUAGE","P","M","G","A",NA,"No"
2010-09-20,"Food & Drink","JUICY BEEF","C","M","P","A",NA,"No"
2010-09-21,"Phrase","QUALITY TIME","D","P","C","O",NA,"No"
2010-09-22,"Thing","VISUAL IMAGE","C","M","D","O",NA,"No"
2010-09-23,"Phrase","TAKE A BOW","C","M","D","A","P","Yes"
2010-09-24,"Thing","FLATBED TRUCK","D","K","M","I",NA,"No"
2010-09-27,"Phrase","YOU HOLD THE KEY","C","M","D","A",NA,"No"
2010-09-28,"Thing","BEAR HUG","D","M","W","O",NA,"No"
2010-09-29,"Phrase","I'M AWAKE","D","C","M","I",NA,"No"
2010-09-30,"Event","HAPPY HOUR","P","H","D","I",NA,"Yes"
2011-09-19,"Phrase","MIGHTY PROUD","D","H","P","A",NA,"No"
2011-09-20,"Place","BANQUET ROOM","M","C","D","O",NA,"No"
2011-09-21,"Thing","CROWDED SUBWAY","C","H","D","A",NA,"No"
2011-09-22,"Phrase","BUY IN BULK","M","F","C","O",NA,"No"
2011-09-23,"Phrase","CABIN FEVER","B","V","M","A",NA,"Yes"
2011-09-26,"Thing","BACKFLIP","D","M","C","A",NA,"No"
2011-09-27,"Things","BITE-SIZE PIECES","C","D","H","A",NA,"Yes"
2011-09-28,"Phrase","FAR BEHIND","G","C","P","I",NA,"No"
2011-09-29,"Thing","ROUGH PATCH","M","Y","H","I",NA,"No"
2011-09-30,"Place","COMFY HOME","C","P","M","A",NA,"No"
2012-09-17,"Phrase","WORTH THE WAIT","W","H","D","A",NA,"Yes"
2012-09-18,"Phrase","EXACTLY ALIKE","H","M","Y","O",NA,"No"
2012-09-19,"Thing","GLOBAL PHENOMENON","C","H","M","A",NA,"Yes"
2012-09-20,"Place","HIKING PATH","D","W","G","I",NA,"Yes"
2012-09-21,"Place","LIGHTHOUSE","H","G","B","O",NA,"Yes"
2012-09-24,"Thing","HIGH INCOME","H","G","M","A",NA,"No"
2012-09-25,"Thing","KAYAK PADDLE","F","G","C","A",NA,"No"
2012-09-26,"Thing","AERIAL VIEW","C","M","P","O",NA,"No"
2012-09-27,"Thing","PLUSH TOY","C","D","M","O","P","Yes"
2012-09-28,"Phrase","CAN I HAVE A HUG?","C","F","V","I",NA,"No"
2013-09-16,"Phrase","BACK IN THE DAY","G","D","P","O",NA,"No"
2013-09-17,"Person","PREVIOUS OCCUPANT","C","D","P","A",NA,"Yes"
2013-09-18,"Thing","WALL SAFE","F","B","C","A",NA,"Yes"
2013-09-19,"Phrase","ALWAYS IN DEMAND","D","M","P","A",NA,"Yes"
2013-09-20,"Place","FANCY BOUTIQUE","C","P","M","A",NA,"No"
2013-09-23,"Thing","OVERHEAD PROJECTOR","C","M","P","O",NA,"Yes"
2013-09-24,"Thing","STOCKY BUILD","M","D","B","I",NA,"Yes"
2013-09-25,"Phrase","A STROKE OF GENIUS","K","B","C","I",NA,"Yes"
2013-09-26,"Thing","HOUSEHOLD BUDGET","C","M","P","O",NA,"No"
2013-09-27,"Phrase","BEHIND SCHEDULE","P","M","D","I",NA,"Yes"
2013-09-30,"Thing","PAISLEY DESIGN","H","F","P","O",NA,"No"
2014-09-15,"Thing","VALIDATION","H","C","O","D",NA,"No"
2014-09-16,"Food & Drink","A BOWL OF FRUIT","B","D","M","A",NA,"Yes"
2014-09-17,"Thing","LOUD LAUGHTER","D","G","H","O",NA,"Yes"
2014-09-18,"Thing","ICONIC GAME","B","D","M","A",NA,"No"
2014-09-19,"Food & Drink","PIPING HOT BISCUIT","D","H","B","A",NA,"No"
2014-09-22,"Event","JAZZ FESTIVAL","F","H","M","O",NA,"No"
2014-09-23,"Living Things","ADORABLE PUPPIES","D","C","H","O",NA,"Yes"
2014-09-24,"Thing","VALUABLE CARGO","C","D","H","A","M","No"
2014-09-25,"What Are You Doing?","GOOFING AROUND","D","P","M","O","H","Yes"
2014-09-26,"Things","PAPERBACKS","D","M","G","I",NA,"No"
2014-09-29,"What Are You Doing?","GOING BACKSTAGE","D","G","M","A",NA,"Yes"
2014-09-30,"Thing","GUIDED TOUR","P","H","D","O",NA,"No"
2015-09-14,"Thing","YUMMY RECIPE","D","M","C","A",NA,"Yes"
2015-09-15,"Phrase","JUST SHOWING OFF","C","P","G","O",NA,"No"
2015-09-16,"Thing","AVIATOR JACKET","P","G","H","O",NA,"No"
2015-09-17,"Thing","HOURLY UPDATE","P","D","M","A",NA,"Yes"
2015-09-18,"Thing","MUGGY NIGHT","G","H","M","I",NA,"Yes"
2015-09-21,"Phrase","I JUMPED FOR JOY","C","D","F","A",NA,"No"
2015-09-22,"Phrase","QUICK TURNAROUND","G","D","H","O",NA,"No"
2015-09-23,"Phrase","HI FOLKS","M","Y","G","O",NA,"No"
2015-09-24,"Thing","GLOWING REVIEW","G","P","H","O",NA,"No"
2015-09-25,"Thing","SWAYING HAMMOCK","G","H","C","I",NA,"No"
2015-09-28,"Living Thing","FAITHFUL DOG","H","C","D","A","P","Yes"
2015-09-29,"Thing","OVERSIZED WATCH","C","H","G","A","Y","No"
2015-09-30,"People","YOUNG HOMEBUYERS","C","D","M","O",NA,"No"
2007-10-01,"Around the House","JUNK DRAWER","D","C","M","O",NA,"No"
2007-10-02,"Living Thing","LADYBUG","B","F","P","A",NA,"No"
2007-10-03,"Phrase","PAY THE PIPER","C","M","F","O",NA,"No"
2007-10-04,"Phrase","GIVE A HOOT","D","C","M","A",NA,"No"
2007-10-05,"Occupation","COURT BAILIFF","C","D","G","O","M","No"
2007-10-08,"Living Things","GUPPIES","C","D","M","I",NA,"No"
2007-10-09,"Phrase","IN FASHION","C","D","M","O",NA,"No"
2007-10-10,"Phrase","YOU MAY BEGIN","M","P","H","I",NA,"No"
2007-10-11,"Thing","SHADOW","G","P","M","I",NA,"No"
2007-10-12,"Things","A FEW LAUGHS","D","G","B","A",NA,"No"
2007-10-15,"Thing","DREAM JOB","B","C","M","A",NA,"Yes"
2007-10-16,"Phrase","SHOW YOUR STUFF","Y","M","G","O",NA,"No"
2007-10-17,"Thing","HAPPY FACE","C","D","P","O",NA,"No"
2007-10-18,"Phrase","ITCHING TO GO","C","M","P","A",NA,"Yes"
2007-10-19,"Event","A QUICK BREAK","C","H","P","O",NA,"No"
2007-10-22,"Food & Drink","WHITE GRAVY","F","D","C","U",NA,"No"
2007-10-23,"Thing","MICROSCOPE","H","M","P","O","F","Yes"
2007-10-24,"Phrase","A SNUG FIT","P","H","G","A","D","Yes"
2007-10-25,"Thing","BIKE RACK","M","G","C","A",NA,"No"
2007-10-26,"Phrase","WORDS OF WISDOM","C","M","P","U","F","No"
2007-10-29,"Fun & Games","RUGBY","D","M","P","A",NA,"Yes"
2007-10-30,"Occupation","BOOKKEEPER","C","M","D","A",NA,"No"
2007-10-31,"Phrase","CHECK THE BOX","M","H","C","A",NA,"No"
2008-10-01,"Place","PHOTO LAB","M","D","C","A",NA,"No"
2008-10-02,"Phrase","SHOP AROUND","C","B","H","A","P","Yes"
2008-10-03,"Thing","OATH OF OFFICE","F","M","B","O",NA,"No"
2008-10-06,"Thing","SPARK PLUG","B","H","C","I",NA,"No"
2008-10-07,"Place","EXIT RAMP","M","C","D","O",NA,"Yes"
2008-10-08,"Thing","CHARISMA","H","D","C","A",NA,"Yes"
2008-10-09,"Thing","A LOUD VOICE","G","C","M","A",NA,"No"
2008-10-10,"Proper Name","BOB DYLAN","C","D","B","O",NA,"Yes"
2008-10-13,"Things","JEAN SHORTS","C","H","D","O",NA,"Yes"
2008-10-14,"Around the House","LEAKY FAUCET","C","D","M","A",NA,"Yes"
2008-10-15,"Phrase","LIVING ABROAD","D","M","P","A","C","No"
2008-10-16,"Phrase","FIGHT THE URGE","H","D","C","O",NA,"No"
2008-10-17,"Place","FOOTPATH","P","C","G","A",NA,"Yes"
2008-10-20,"Thing","UPHILL CLIMB","C","M","P","A",NA,"No"
2008-10-21,"Thing","BLAZING SPEED","H","C","P","A",NA,"Yes"
2008-10-22,"Thing","DAILY DIARY","M","C","G","I",NA,"No"
2008-10-23,"Living Thing","INCHWORM","D","M","C","O",NA,"No"
2008-10-24,"Thing","DEBIT CARD","C","D","M","A",NA,"Yes"
2008-10-27,"Phrase","PLAYING A HUNCH","P","G","M","A","F","No"
2008-10-28,"Event","HEAVY DOWNPOUR","D","M","C","O",NA,"No"
2008-10-29,"Thing","HIGH FIVE","D","M","C","O",NA,"No"
2008-10-30,"Person","VISIONARY","Y","I","G","H",NA,"Yes"
2008-10-31,"Person","CRYBABY","P","C","D","A",NA,"No"
2009-10-01,"Fun & Games","A BRISK JOG","C","D","M","A",NA,"No"
2009-10-02,"Thing","VIRTUAL TOUR","V","C","M","U",NA,"Yes"
2009-10-05,"Thing","SOFT WHISPER","C","D","M","A",NA,"No"
2009-10-06,"Things","LOFTY AMBITIONS","F","G","D","I",NA,"No"
2009-10-07,"Phrase","JUST PEACHY","C","H","D","A",NA,"No"
2009-10-08,"Thing","HIGH PRAISE","C","D","H","A",NA,"Yes"
2009-10-09,"Thing","YOUTHFUL OUTLOOK","C","B","G","O",NA,"No"
2009-10-12,"Phrase","SQUEAKING BY","C","D","G","I",NA,"No"
2009-10-13,"Thing","JOURNAL PAGE","G","P","H","A",NA,"Yes"
2009-10-14,"Thing","CLAY FIGURINE","M","P","C","I",NA,"No"
2009-10-15,"Thing","A HUGE IMPACT","C","M","P","A",NA,"No"
2009-10-16,"People","CHOSEN FEW","C","H","F","O","W","Yes"
2009-10-19,"Things","MUSIC VIDEOS","C","M","D","A",NA,"No"
2009-10-20,"Place","MAIN OFFICE","M","D","P","I",NA,"Yes"
2009-10-21,"Thing","BEAUTY MARK","C","M","G","I",NA,"No"
2009-10-22,"Phrase","GIVE IT A WHIRL","G","V","W","I",NA,"Yes"
2009-10-23,"Phrase","ROUGHING IT","G","M","P","I",NA,"Yes"
2009-10-26,"Phrase","LUCKY BREAK","C","D","H","A",NA,"Yes"
2009-10-27,"Thing","HAIR DYE","C","M","P","A",NA,"No"
2009-10-28,"Event","VICTORY LAP","C","G","D","O",NA,"Yes"
2009-10-29,"Phrase","GO FIGURE","M","D","G","A","H","Yes"
2009-10-30,"Phrase","HIT IT BIG","G","M","H","I",NA,"Yes"
2010-10-01,"Event","ACT OF HEROISM","H","C","D","O",NA,"Yes"
2010-10-04,"Living Things","HAWKS AND DOVES","M","P","D","O",NA,"No"
2010-10-05,"Thing","QUICK DECISION","C","H","F","O",NA,"Yes"
2010-10-06,"Thing","OVERCOAT","H","G","P","O",NA,"No"
2010-10-07,"Phrase","ON A WHIM","D","M","B","I","P","Yes"
2010-10-08,"Place","PIZZA JOINT","M","H","P","I",NA,"No"
2010-10-11,"Thing","BACKBONE","H","B","G","O",NA,"Yes"
2010-10-12,"Phrase","WARM AND FUZZY","D","C","H","A",NA,"No"
2010-10-13,"Person","GROWN-UP","C","D","G","O",NA,"Yes"
2010-10-14,"Thing","MUSIC MIX","B","M","D","O",NA,"No"
2010-10-15,"Person","ANONYMOUS DONOR","D","A","M","C",NA,"Yes"
2010-10-18,"Person","TOUGH GUY","C","W","P","O",NA,"No"
2010-10-19,"Thing","VOLUME KNOB","D","H","C","O",NA,"No"
2010-10-20,"Thing","A HUGE FAVOR","C","K","H","A",NA,"No"
2010-10-21,"Things","JOKES AND PUNS","D","C","P","A",NA,"Yes"
2010-10-22,"Phrase","GOOF AROUND","C","M","H","I",NA,"No"
2010-10-25,"Thing","HEAVY FOG","H","D","M","A",NA,"No"
2010-10-26,"Thing","OFFICE EQUIPMENT","M","D","C","A",NA,"No"
2010-10-27,"Thing","VIEWFINDER","D","P","H","A",NA,"No"
2010-10-28,"Phrase","GOOD GRIEF","C","D","M","I","P","No"
2010-10-29,"Phrase","JOIN FORCES","G","C","H","A",NA,"Yes"
2011-10-03,"Event","JOB FAIR","B","G","H","O",NA,"Yes"
2011-10-04,"Thing","POUND SIGN","G","D","M","A",NA,"Yes"
2011-10-05,"Thing","HOCKEY LEAGUE","D","C","F","A",NA,"No"
2011-10-06,"Thing","VAGUE IDEA","C","D","M","O",NA,"No"
2011-10-07,"Phrase","I WON'T BUDGE","C","D","P","O","M","No"
2011-10-10,"Thing","CORKBOARD","C","D","B","A",NA,"No"
2011-10-11,"Phrase","HOLD OUT HOPE","C","B","M","A",NA,"No"
2011-10-12,"Phrase","I'M JUST TOO BUSY","P","M","C","O",NA,"No"
2011-10-13,"Food & Drink","MOIST BROWNIES","D","C","G","A",NA,"No"
2011-10-14,"Thing","CALYPSO BEAT","M","P","H","O",NA,"No"
2011-10-17,"Living Thing","YOUNG CALF","D","F","C","A",NA,"Yes"
2011-10-18,"Thing","BALE OF HAY","H","C","D","A",NA,"Yes"
2011-10-19,"Thing","BANJO MUSIC","H","C","F","I",NA,"No"
2011-10-20,"Thing","FULL-BODIED FLAVOR","B","C","P","A",NA,"No"
2011-10-21,"Food & Drink","ORANGE GUMDROPS","G","M","H","O",NA,"Yes"
2011-10-24,"Thing","GOOD ADVICE","M","C","P","A","D","Yes"
2011-10-25,"Place","BINGO PARLOR","P","C","M","A",NA,"No"
2011-10-26,"Thing","PARTY FAVOR","D","M","G","A",NA,"No"
2011-10-27,"Thing","STOCK QUOTE","C","G","D","A",NA,"No"
2011-10-28,"Phrase","CASH FLOW","B","G","H","O",NA,"No"
2011-10-31,"Phrase","AN EASY FIX","M","D","C","A",NA,"Yes"
2012-10-01,"Phrase","ON MY WAY","M","C","Y","O",NA,"Yes"
2012-10-02,"Phrase","PREVIOUS EXPERIENCE","C","H","D","A",NA,"No"
2012-10-03,"Thing","HUGE REWARD","C","M","P","A",NA,"No"
2012-10-04,"Phrase","RIGHT DOWN TO THE WIRE","G","C","B","A",NA,"Yes"
2012-10-05,"Thing","AMBITION","M","C","P","A",NA,"Yes"
2012-10-08,"Thing","PUBLIC SPEAKING","D","C","M","O",NA,"Yes"
2012-10-09,"Phrase","THE BIG PICTURE","C","H","M","O",NA,"No"
2012-10-10,"Phrase","IN OTHER WORDS","W","D","H","O",NA,"Yes"
2012-10-11,"Phrase","I'M BACK AGAIN","M","F","H","I",NA,"No"
2012-10-12,"Thing","VALUABLE GIFT","C","P","M","O",NA,"No"
2012-10-15,"Thing","HEAVY DUMBBELL","M","D","H","A","B","Yes"
2012-10-16,"Phrase","QUITE AN EVENT","M","C","H","O",NA,"Yes"
2012-10-17,"Phrase","ALIVE AND KICKING","D","H","M","A",NA,"Yes"
2012-10-18,"Things","BABY CLOTHES","C","M","D","I",NA,"No"
2012-10-19,"Person","YOUNG UPSTART","P","H","D","A",NA,"No"
2012-10-22,"Thing","SHARP IMAGE","C","D","H","A",NA,"No"
2012-10-23,"Thing","POWER SURGE","C","M","D","A",NA,"No"
2012-10-24,"Thing","BRIEF LAYOVER","H","D","M","I",NA,"No"
2012-10-25,"Thing","WILD PITCH","D","M","B","A",NA,"No"
2012-10-26,"Thing","UNIQUE INSIGHT","M","C","H","O",NA,"No"
2012-10-29,"Phrase","PICK AND CHOOSE","C","D","M","O",NA,"Yes"
2012-10-30,"Phrase","LOOK AWAY","F","M","C","I",NA,"No"
2012-10-31,"Things","ABBREVIATIONS","D","M","P","O","G","No"
2013-10-01,"Things","BONGO DRUMS","C","H","P","O",NA,"No"
2013-10-02,"Thing","POWER PACK","P","M","D","O",NA,"No"
2013-10-03,"Food & Drink","A WHOLE HONEYDEW","H","C","B","A",NA,"Yes"
2013-10-04,"Thing","FIXER-UPPER","P","B","C","U",NA,"No"
2013-10-07,"Phrase","OUT OF POCKET","G","C","B","O",NA,"Yes"
2013-10-08,"Thing","OAK PLANK","H","D","P","A",NA,"No"
2013-10-09,"Person","AVID HOCKEY FAN","M","D","P","O","H","No"
2013-10-10,"Things","WOODEN BUNK BEDS","H","B","D","O",NA,"Yes"
2013-10-11,"Thing","MURKY WATER","C","M","P","A",NA,"No"
2013-10-14,"Phrase","CARVED BY HAND","C","D","F","O",NA,"No"
2013-10-15,"On the Map","BORA BORA","B","C","M","A",NA,"Yes"
2013-10-16,"Thing","CHURCH PEW","C","D","H","U","M","Yes"
2013-10-17,"Things","GLOSSARY AND INDEX","G","B","F","O",NA,"No"
2013-10-18,"Thing","HARPSICHORD","D","C","M","A",NA,"Yes"
2013-10-21,"Thing","ANTIQUE WATCH","C","M","G","I",NA,"Yes"
2013-10-22,"Phrase","IT'S OUT OF THE WAY","F","M","C","I",NA,"No"
2013-10-23,"Food & Drink","BAKED HAM","C","D","M","A",NA,"No"
2013-10-24,"Place","DOG PARK","P","D","Y","O",NA,"No"
2013-10-25,"Person","EGYPTIAN PHARAOH","D","M","P","A",NA,"Yes"
2013-10-28,"Person","GOLFING BUDDY","B","C","D","A",NA,"No"
2013-10-29,"Person","JOLLY GOOD FELLOW","G","P","D","O",NA,"Yes"
2013-10-30,"Food & Drink","GOURMET POPCORN","P","C","M","O",NA,"Yes"
2013-10-31,"People","CHOOSY KIDS","D","M","G","A",NA,"No"
2014-10-01,"Thing","MOBILE DEVICE","H","D","M","O",NA,"Yes"
2014-10-02,"Phrase","JUMP ON THE BANDWAGON","D","P","M","O",NA,"Yes"
2014-10-03,"Phrase","IT TAKES KNOW-HOW","M","C","D","I",NA,"No"
2014-10-06,"Thing","GLAMOROUS IMAGE","P","C","F","O",NA,"No"
2014-10-07,"Person","LUCKY GUY","C","D","M","O",NA,"Yes"
2014-10-08,"Thing","AUTOGRAPHED BOOK","K","M","B","A","H","Yes"
2014-10-09,"Thing","AN OUNCE OF GOLD","F","D","G","A",NA,"Yes"
2014-10-10,"Phrase","POETIC JUSTICE","C","M","P","U",NA,"Yes"
2014-10-13,"Phrase","THAT WORKS","C","H","D","A",NA,"No"
2014-10-14,"Person","TUBA PLAYER","P","M","C","A",NA,"Yes"
2014-10-15,"Place","JUICE BAR","M","C","D","A",NA,"Yes"
2014-10-16,"Phrase","IN HOG HEAVEN","D","M","B","A","C","No"
2014-10-17,"Thing","EMPTY COOKIE JAR","C","H","M","A","W","No"
2014-10-20,"Phrase","PICK UP THE PHONE","P","C","H","O",NA,"Yes"
2014-10-21,"Thing","HIGH GEAR","C","D","M","O",NA,"No"
2014-10-22,"Phrase","BEYOND THE HORIZON","P","C","H","O",NA,"No"
2014-10-23,"Thing","GROWTH SPURT","C","G","Y","I",NA,"No"
2014-10-24,"Things","JOB QUALIFICATIONS","H","D","M","A",NA,"No"
2014-10-27,"Phrase","POINT THE WAY","P","C","M","O",NA,"No"
2014-10-28,"Thing","BUSHY TAIL","C","M","H","O",NA,"Yes"
2014-10-29,"Thing","UNIQUE WORK OF ART","Q","K","W","O",NA,"Yes"
2014-10-30,"Thing","BAGGAGE FEE","H","M","C","O","G","Yes"
2014-10-31,"Phrase","A PIECE OF THE PIE","B","M","F","A",NA,"No"
2015-10-01,"Things","VACUUM-PACKED BAGS","D","C","H","A",NA,"No"
2015-10-02,"Thing","FULL COOKIE JAR","G","H","C","O",NA,"No"
2015-10-05,"Living Things","PINK DAFFODILS","P","C","D","I",NA,"Yes"
2015-10-06,"Thing","DAILY JOURNAL","C","M","H","A",NA,"No"
2015-10-07,"Food & Drink","FUJI APPLE","G","H","P","O",NA,"Yes"
2015-10-08,"Thing","BARITONE VOICE","D","M","P","I",NA,"No"
2015-10-09,"What Are You Doing?","WAXING MY CAR","G","D","C","I",NA,"No"
2015-10-12,"Thing","OAK BOOKCASE","M","G","P","O","H","No"
2015-10-13,"Phrase","WOVEN TOGETHER","P","G","H","O",NA,"No"
2015-10-14,"Thing","UNIQUE POINT OF VIEW","M","H","W","A",NA,"No"
2015-10-15,"Thing","VIDEO BLOG","D","C","P","I",NA,"No"
2015-10-16,"Thing","PAGEANT GOWN","G","H","P","O",NA,"Yes"
2015-10-19,"Phrase","KEEP PUSHING FORWARD","C","G","Y","O",NA,"No"
2015-10-20,"Phrase","I PLAYED A HUNCH","G","P","D","A","B","No"
2015-10-21,"Thing","MAXIMUM AMOUNT","C","D","M","O",NA,"Yes"
2015-10-22,"Thing","UNBIASED OPINION","D","M","H","O",NA,"No"
2015-10-23,"Thing","A HUGE GAMBLE","C","H","P","O",NA,"No"
2015-10-26,"Food & Drink","BAKED SQUASH","H","M","D","I",NA,"No"
2015-10-27,"Place","CLUBHOUSE","P","B","C","O",NA,"Yes"
2015-10-28,"Phrase","I ADMIRE YOU","C","D","M","A",NA,"Yes"
2015-10-29,"Thing","VALUABLE IDEA","C","P","D","O",NA,"No"
2015-10-30,"Thing","YOUNG ADULT FICTION","G","Q","P","I",NA,"No"
2007-11-01,"Phrase","FAR AND WIDE","F","Y","G","O",NA,"Yes"
2007-11-02,"Things","HOT TOPICS","D","P","M","O",NA,"No"
2007-11-05,"Phrase","BOTH OF US","D","H","C","O",NA,"Yes"
2007-11-06,"Phrase","GOOD WORK","M","D","B","A",NA,"No"
2007-11-07,"Thing","DOUBLE VISION","C","M","P","A","D","Yes"
2007-11-08,"Phrase","YOUNG AND FOOLISH","F","C","M","O","D","No"
2007-11-09,"Phrase","CATCH A WAVE","C","D","B","A",NA,"Yes"
2007-11-12,"Thing","HAIR RIBBON","M","D","Y","O","C","Yes"
2007-11-13,"Food & Drink","JUICY BURGER","P","C","D","I",NA,"No"
2007-11-14,"Phrase","I'M HOPEFUL","D","M","I","P",NA,"No"
2007-11-15,"Thing","FUZZY MEMORY","D","P","G","A","B","No"
2007-11-16,"Phrase","A CUT ABOVE","F","H","D","O",NA,"No"
2007-11-19,"Thing","WILLPOWER","C","M","P","A",NA,"Yes"
2007-11-20,"Phrase","WAIST-HIGH","B","D","M","A",NA,"No"
2007-11-21,"Things","SOAP BUBBLES","D","M","C","O",NA,"No"
2007-11-22,"Things","PAIR OF PAJAMAS","C","F","M","O",NA,"No"
2007-11-23,"Event","BUYING A HOME","G","M","D","I",NA,"No"
2007-11-26,"Place","BANK VAULT","G","H","C","A",NA,"Yes"
2007-11-27,"On the Map","FLAGSTAFF","C","H","F","A",NA,"Yes"
2007-11-28,"Person","GROWING BOY","M","B","C","A",NA,"No"
2007-11-29,"Phrase","HANG TOUGH","G","B","M","A",NA,"Yes"
2007-11-30,"Things","LOW PRICES","M","C","D","A",NA,"Yes"
2008-11-03,"Things","HYPHENS & DASHES","C","D","M","I",NA,"No"
2008-11-04,"Event","PARTIAL ECLIPSE","D","Z","C","I",NA,"Yes"
2008-11-05,"Phrase","THUMBS UP","P","M","U","C",NA,"Yes"
2008-11-06,"Thing","HUGE WINDFALL","D","G","M","I",NA,"No"
2008-11-07,"On the Map","BEIJING","C","B","H","I",NA,"Yes"
2008-11-10,"Thing","A GOOD LAUGH","C","M","G","A",NA,"Yes"
2008-11-11,"People","YOUTH GROUP","C","M","P","A",NA,"No"
2008-11-12,"Phrase","WRONG WAY","D","K","C","I",NA,"No"
2008-11-13,"Thing","FOLKSY CHARM","P","H","D","I",NA,"No"
2008-11-14,"Thing","MILK JUG","C","M","P","A",NA,"Yes"
2008-11-17,"Thing","TOUGH EXAM","H","M","D","I","C","Yes"
2008-11-18,"Thing","KHAKI UNIFORM","M","C","G","A",NA,"No"
2008-11-19,"Person","WORKAHOLIC","C","H","P","I","Y","No"
2008-11-20,"Person","BLOGGER","C","D","M","A",NA,"No"
2008-11-21,"Phrase","BY THE WAY","B","G","C","I",NA,"No"
NA,"Thing","GOLF HAT","P","D","H","O",NA,"No"
2008-11-25,"Fictional Place","UTOPIA","C","H","P","A",NA,"Yes"
2008-11-26,"On the Map","JUNEAU","P","M","C","O",NA,"No"
2008-11-27,"Thing","PAYCHECK","C","D","M","A","P","Yes"
2008-11-28,"Phrase","FULL OF INTRIGUE","B","W","F","A","C","No"
2009-11-02,"Thing","FLIGHT PATH","P","H","D","A",NA,"Yes"
2009-11-03,"Phrase","BUY NOW","D","H","M","O",NA,"No"
2009-11-04,"Phrase","A WAY WITH WORDS","H","D","B","A",NA,"Yes"
2009-11-05,"Phrase","TOUCH BASE","H","P","C","A",NA,"Yes"
2009-11-06,"Phrase","EQUAL FOOTING","M","C","W","A",NA,"No"
2009-11-09,"Phrase","FRUITS OF YOUR LABOR","C","P","F","A",NA,"No"
2009-11-10,"Phrase","WISHFUL THINKING","C","M","G","A",NA,"Yes"
2009-11-11,"Thing","BOILING POINT","G","P","M","A",NA,"No"
2009-11-12,"Phrase","HALF A DOZEN","C","D","M","I",NA,"No"
2009-11-13,"Phrase","CLOSE PROXIMITY","C","P","M","O",NA,"Yes"
2009-11-16,"Phrase","OUTFOXED AGAIN","C","M","P","A",NA,"No"
2009-11-17,"Phrase","MAYBE SOMEDAY","P","C","H","A","G","No"
2009-11-18,"People","WHIZ KIDS","M","C","H","A",NA,"No"
2009-11-19,"Thing","FIELD GUIDE","D","P","C","O","M","No"
2009-11-20,"Thing","SOUND ADVICE","C","D","M","A",NA,"Yes"
2009-11-23,"Place","FARAWAY GALAXY","C","B","H","A",NA,"Yes"
2009-11-24,"People","YOUNG COUPLE","C","D","M","I",NA,"No"
2009-11-25,"Person","BOY GENIUS","P","B","C","A",NA,"No"
2009-11-26,"Thing","GOOD PUBLICITY","M","D","C","O",NA,"No"
2009-11-27,"Things","OFFICIAL DUTIES","B","G","H","A","M","No"
2009-11-30,"Thing","CHEW TOY","P","M","B","O",NA,"No"
2010-11-01,"Phrase","ONWARD AND UPWARD","D","M","P","A",NA,"No"
2010-11-02,"Thing","A FIRM GRIP","M","C","D","A",NA,"No"
2010-11-03,"Phrase","FLASH OF GENIUS","D","C","P","I",NA,"No"
2010-11-04,"People","JUGGLERS AND CLOWNS","D","C","P","A",NA,"Yes"
2010-11-05,"Living Thing","BABY KOALA","B","M","D","A",NA,"Yes"
2010-11-08,"Phrase","AHEAD OF THE CURVE","C","B","M","A",NA,"Yes"
2010-11-09,"Thing","DAYLIGHT","C","D","P","A",NA,"No"
2010-11-10,"Thing","SECOND CHOICE","P","D","H","A",NA,"Yes"
2010-11-11,"Things","SHOULDER PADS","C","H","M","A",NA,"Yes"
2010-11-12,"Thing","TOUCHY SUBJECT","H","D","C","A",NA,"No"
2010-11-15,"Phrase","I WAS MISQUOTED","D","P","H","A",NA,"No"
2010-11-16,"Thing","SMOOTH MOVE","H","D","M","I",NA,"No"
2010-11-17,"Place","MAIN LOBBY","G","D","A","P",NA,"No"
2010-11-18,"Thing","OPEN-DOOR POLICY","P","D","Y","O",NA,"Yes"
2010-11-19,"Thing","BRIEF CHAT","F","D","C","A",NA,"Yes"
2010-11-22,"Place","GHOST TOWN","C","H","M","O",NA,"Yes"
2010-11-23,"Phrase","IT'S BAFFLING","D","P","M","O",NA,"No"
2010-11-24,"Thing","POWER SOURCE","H","M","C","A",NA,"No"
2010-11-25,"Thing","TEXTBOOK","D","C","P","A",NA,"No"
2010-11-26,"Things","BLACK TIGHTS","H","C","D","A",NA,"Yes"
2010-11-29,"Thing","CHEMICAL FORMULA","H","D","M","A",NA,"Yes"
2010-11-30,"Person","FORMER BOYFRIEND","B","P","M","O",NA,"Yes"
